"","Genotype","Type","Ploidy","Species","CCC_Group","Average_Tuber_Weight_(g)","Number_of_Tubers_per_plant","Total_Tuber_Yield_(kg_per_plant)","clust"
"1","BGVCOL_15061903","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",6.6,4.09294871794872,0.448589743589744,"2"
"2","BGVCOL_15060006","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",14.0666666666667,13.25,0.835833333333333,"4"
"3","BGVCOL_15060013","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",6.2,6.98630952380952,0.408392857142857,"2"
"4","BGVCOL_15061904","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_A",12,6.49583333333333,0.725833333333333,"2"
"5","BGVCOL_15060016","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",14.9333333333333,12.8810897435897,0.987051282051282,"4"
"6","BGVCOL_15060021","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",8.56666666666667,13.003431372549,0.503039215686275,"2"
"7","BGVCOL_15060025","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",14,14.5625,0.873611111111111,"4"
"8","BGVCOL_15060027","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",7.46666666666667,8.27370766488414,0.484616755793226,"2"
"9","BGVCOL_15062333","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",11.1333333333333,13.2648148148148,0.77412037037037,"4"
"10","BGVCOL_15062036","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",19.7333333333333,15.5444444444444,1.25222222222222,"5"
"11","BGVCOL_15060042","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",11.2333333333333,10.0291666666667,0.694761904761905,"4"
"12","BGVCOL_15062038","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",16.9,23.425,1.04041666666667,"5"
"13","BGVCOL_15060050","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",14.1,8.46797385620915,0.825294117647059,"4"
"14","BGVCOL_15060056","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",11.6333333333333,14.2434640522876,0.675522875816993,"4"
"15","BGVCOL_15061905","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",9.93333333333333,11.9875,0.597916666666667,"4"
"16","BGVCOL_15060063","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",14.4,19.2,1.27412698412698,"5"
"17","BGVCOL_15060070","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B1",20.1333333333333,23.05,1.185,"5"
"18","BGVCOL_15062039","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",8.63333333333333,10.2666666666667,0.551111111111111,"2"
"19","BGVCOL_15060072","Type_Campo","Ploidy_Tetraploid","Solanum tuberosum subsp. andigena","CCC_Group_CCC_Group_B2",13.9333333333333,10.9991246498599,0.984523809523809,"4"
